order_id,order_date,order_time,shop_location_longitude,shop_location_latitude,shop_location_district,shop_location_country,shop_location_city,dropoff_longitude,dropoff_latitude,food_category,food_price_per_piece (US dollar),food_quantity_per_order,order_status,cost_of_successful_purchase _per_order (US dollar),,
id3376065,30/6/59,23:57:25,-73.99634552,40.74816132,Midtown Manhattan,USA,New York,-73.95082855,40.78282547,Asian noodle,8,1,Cancel,0,,
id3008739,30/6/59,23:57:22,-73.96802521,40.76228333,Upper Manhattan,USA,New York,-73.93479156,40.79743576,Tacos,13,1,Success,18,,
id0902216,30/6/59,23:56:44,-74.00771332,40.74068069,Midtown Manhattan,USA,New York,-73.96881104,40.75386047,Cheese Steak,5,1,Success,9,,
id3564824,30/6/59,23:55:36,-73.98429871,40.72498322,Midtown Manhattan,USA,New York,-73.98181915,40.74059677,Cheese Steak,4.5,10,Success,47,,
id0775088,30/6/59,23:55:20,-73.96669006,40.79409027,Upper Manhattan,USA,New York,-73.92077637,40.83005905,Asian noodle,12,1,Success,18,,
id1468488,30/6/59,23:55:13,-73.99468994,40.72581863,Midtown Manhattan,USA,New York,-73.98715973,40.72925949,Icecream,5,2,Success,11,,
id2657479,30/6/59,23:55:12,-73.96595001,40.75806808,Upper Manhattan,USA,New York,-73.9775238,40.74252701,Burger,1.5,1,Cancel,0,,
id1262719,30/6/59,23:55:04,-73.98638153,40.76200104,Upper Manhattan,USA,New York,-73.96614838,40.76208878,Fried Chicken,13,5,Success,67,,
id2911638,30/6/59,23:54:45,-73.98410034,40.7427597,Midtown Manhattan,USA,New York,-73.95600128,40.78480911,Pizza,4.5,2,Success,14,,
id0236829,30/6/59,23:53:06,-73.96762085,40.76285553,Upper Manhattan,USA,New York,-73.95230103,40.78218079,Burger,1.5,2,Cancel,0,,
id2905906,30/6/59,23:52:34,-73.98535919,40.75954819,Upper Manhattan,USA,New York,-73.9732666,40.76329422,Donut,2,2,Success,5,,
id3737939,30/6/59,23:52:15,-73.98752594,40.76551056,Upper Manhattan,USA,New York,-73.93871307,40.84982681,Cheese Steak,1.5,4,Cancel,0,,
id0766179,30/6/59,23:51:42,-73.98534393,40.74735641,Midtown Manhattan,USA,New York,-73.9783783,40.67557144,Icecream,4.5,4,Success,25,,
id3422639,30/6/59,23:51:28,-73.97908783,40.75539017,Upper Manhattan,USA,New York,-73.99099731,40.74977493,Pizza,5.5,1,Success,7,,
id3864673,30/6/59,23:50:30,-73.97766876,40.72550964,Midtown Manhattan,USA,New York,-73.90653229,40.73731995,Hot dog,8,2,Cancel,0,,
id2052707,30/6/59,23:50:28,-74.00743866,40.73310089,Midtown Manhattan,USA,New York,-73.99604797,40.7224617,Pizza,6.5,1,Success,8,,
id0591443,30/6/59,23:50:28,-73.98326874,40.76779938,Upper Manhattan,USA,New York,-73.95336914,40.77119827,Pizza,5.5,1,Success,9,,
id1686925,30/6/59,23:50:15,-74.00836945,40.70420837,Lower Manhattan,USA,New York,-73.98807526,40.76461411,Hot dog,5.5,1,Success,12,,
id0429284,30/6/59,23:50:03,-73.98156738,40.75858307,Upper Manhattan,USA,New York,-74.00532532,40.74611664,Spagetti,2,2,Success,7,,
id1860783,30/6/59,23:50:00,-73.98500824,40.73241806,Midtown Manhattan,USA,New York,-74.01294708,40.70241547,Icecream,10,4,Cancel,0,,
id0928636,30/6/59,23:49:35,-73.96208954,40.76367569,Upper Manhattan,USA,New York,-73.96516418,40.76268387,Fried Chicken,10,2,Cancel,0,,
id3904914,30/6/59,23:49:26,-73.97665405,40.74808121,Midtown Manhattan,USA,New York,-73.98783875,40.74897385,Tacos,6.5,1,Success,8,,
id2844603,30/6/59,23:49:15,-73.99091339,40.7342453,Midtown Manhattan,USA,New York,-73.96554565,40.805336,Donut,5,1,Success,13,,
id3400686,30/6/59,23:49:14,-73.97229004,40.75649643,Upper Manhattan,USA,New York,-73.99131012,40.74996948,Donut,1.5,2,Cancel,0,,
id1408427,30/6/59,23:48:51,-74.00518036,40.71913528,Lower Manhattan,USA,New York,-73.95381927,40.82162476,Pizza,8,2,Cancel,0,,
id1712395,30/6/59,23:48:50,-73.98954773,40.75737762,Upper Manhattan,USA,New York,-73.9726181,40.79343414,Cheese Steak,5,4,Success,24,,
id2475053,30/6/59,23:48:19,-73.97029114,40.76240158,Upper Manhattan,USA,New York,-73.99697113,40.75045013,Spagetti,13,1,Success,16,,
id3485082,30/6/59,23:48:06,-73.97812653,40.74549866,Midtown Manhattan,USA,New York,-73.98223114,40.75975418,Donut,6.5,2,Success,14,,
id0827714,30/6/59,23:47:30,-73.98471069,40.74809647,Midtown Manhattan,USA,New York,-73.9966507,40.7493515,Spagetti,5.5,6,Success,34,,
id2765337,30/6/59,23:47:07,-73.98735809,40.75635147,Upper Manhattan,USA,New York,-73.97830963,40.75241852,Spagetti,10,1,Cancel,0,,
id3139513,30/6/59,23:46:37,-73.99411011,40.74637985,Midtown Manhattan,USA,New York,-73.99201965,40.71825027,Pizza,1.5,4,Cancel,0,,
id2690061,30/6/59,23:46:11,-73.98905945,40.74420166,Midtown Manhattan,USA,New York,-73.98951721,40.76794052,Fried Chicken,13,2,Success,28,,
id2214549,30/6/59,23:45:49,-74.00137329,40.74134445,Midtown Manhattan,USA,New York,-73.97711182,40.74978638,Icecream,5.5,2,Success,14,,
id0552977,30/6/59,23:45:48,-73.98084259,40.7420311,Midtown Manhattan,USA,New York,-73.97236633,40.75628662,Pizza,4.5,3,Success,15,,
id1556775,30/6/59,23:45:46,-73.9890213,40.72159958,Midtown Manhattan,USA,New York,-74.00415039,40.70605087,Donut,12,1,Success,14,,
id0364901,30/6/59,23:45:17,-73.97560883,40.74536896,Midtown Manhattan,USA,New York,-73.94682312,40.77639771,Burger,10,4,Cancel,0,,
id3345419,30/6/59,23:44:32,-73.98740387,40.72172928,Midtown Manhattan,USA,New York,-73.99945831,40.69339752,Pizza,12,1,Success,15,,
id2576205,30/6/59,23:42:58,-73.99875641,40.73205948,Midtown Manhattan,USA,New York,-73.98360443,40.72594452,Fried Chicken,2,2,Success,6,,
id3408993,30/6/59,23:42:17,-73.97432709,40.75054169,Upper Manhattan,USA,New York,-73.97592163,40.73250961,Hot dog,10,4,Cancel,0,,
id1969762,30/6/59,23:41:53,-73.9865036,40.71818161,Lower Manhattan,USA,New York,-74.00868225,40.7406311,Cheese Steak,2,1,Success,5,,
id3043563,30/6/59,23:41:38,-73.98974609,40.75219345,Upper Manhattan,USA,New York,-73.99323273,40.72266769,Hot dog,12,5,Success,63,,
id0527242,30/6/59,23:41:23,-73.99002075,40.72946548,Midtown Manhattan,USA,New York,-73.95775604,40.71128845,Pizza,10,2,Cancel,0,,
id1890566,30/6/59,23:41:07,-73.98079681,40.75355911,Upper Manhattan,USA,New York,-73.94286346,40.78744125,Fried Chicken,4.5,1,Success,10,,
id2126329,30/6/59,23:40:55,-73.99326324,40.74202347,Midtown Manhattan,USA,New York,-73.94268036,40.5994339,Asian noodle,1.5,2,Cancel,0,,
id3443802,30/6/59,23:40:54,-73.98184204,40.75533676,Upper Manhattan,USA,New York,-73.96051025,40.76137161,Fried Chicken,5,1,Success,7,,
id1114580,30/6/59,23:40:47,-73.98558807,40.74607849,Midtown Manhattan,USA,New York,-73.99227905,40.72460938,Donut,6.5,1,Success,9,,
id2529811,30/6/59,23:40:22,-73.98989105,40.7408371,Midtown Manhattan,USA,New York,-73.99647522,40.76665878,Fried Chicken,6.5,6,Success,42,,
id1792589,30/6/59,23:40:20,-73.99247742,40.75829697,Upper Manhattan,USA,New York,-73.98078156,40.74801254,Pizza,1.5,1,Cancel,0,,
id0071844,30/6/59,23:39:44,-73.98794556,40.73799133,Midtown Manhattan,USA,New York,-73.99107361,40.71928406,Tacos,4.5,1,Success,6,,
id3468683,30/6/59,23:39:41,-73.99576569,40.75385666,Upper Manhattan,USA,New York,-73.98609161,40.74340057,Fried Chicken,4.5,1,Success,6,,
id2108605,30/6/59,23:39:39,-73.97751617,40.75230408,Upper Manhattan,USA,New York,-73.99948883,40.76123047,Pizza,1.5,3,Cancel,0,,
id3353510,30/6/59,23:39:21,-73.98361969,40.7436676,Midtown Manhattan,USA,New York,-74.00488281,40.74080658,Tacos,4.5,1,Success,7,,
id1650458,30/6/59,23:38:33,-74.00408173,40.7420578,Midtown Manhattan,USA,New York,-73.97434998,40.76384735,Fried Chicken,4.5,8,Success,40,,
id2175910,30/6/59,23:38:28,-74.00976563,40.70315552,Lower Manhattan,USA,New York,-73.99617767,40.67805481,Tacos,5.5,2,Success,14,,
id1443779,30/6/59,23:38:21,-73.98570251,40.72725677,Midtown Manhattan,USA,New York,-73.98067474,40.74582672,Asian noodle,10,2,Cancel,0,,
id2459479,30/6/59,23:38:16,-73.98101807,40.75327682,Upper Manhattan,USA,New York,-73.90762329,40.77857971,Spagetti,4.5,6,Success,35,,
id0358410,30/6/59,23:38:12,-74.00569916,40.75063705,Upper Manhattan,USA,New York,-73.98854828,40.72284317,Spagetti,5,1,Success,8,,
id0582396,30/6/59,23:37:43,-73.96756744,40.75766373,Upper Manhattan,USA,New York,-73.99261475,40.74116898,Donut,4.5,1,Success,7,,
id2262648,30/6/59,23:37:29,-73.99065399,40.73992157,Midtown Manhattan,USA,New York,-73.9723587,40.74507523,Burger,8,1,Cancel,0,,
id2422279,30/6/59,23:37:21,-73.99668884,40.73752213,Midtown Manhattan,USA,New York,-73.98770142,40.75567627,Asian noodle,10,1,Cancel,0,,
id3993739,30/6/59,23:37:14,-74.00112915,40.73139954,Midtown Manhattan,USA,New York,-73.99171448,40.75892639,Burger,5.5,1,Success,8,,
id2578671,30/6/59,23:37:07,-73.97959137,40.75263977,Upper Manhattan,USA,New York,-73.9529953,40.77744675,Fried Chicken,10,4,Cancel,0,,
id3313356,30/6/59,23:37:04,-73.96510315,40.76908875,Upper Manhattan,USA,New York,-73.95265961,40.7804184,Pizza,1.5,2,Cancel,0,,
id0526259,30/6/59,23:36:57,-73.98741913,40.72182846,Midtown Manhattan,USA,New York,-73.94564819,40.71517181,Icecream,5,2,Success,14,,
id2384843,30/6/59,23:36:23,-73.99282837,40.75826645,Upper Manhattan,USA,New York,-74.00592804,40.72478104,Fried Chicken,2,2,Success,8,,
id1266405,30/6/59,23:36:02,-73.99687958,40.72042847,Midtown Manhattan,USA,New York,-73.99008942,40.72013855,Pizza,8,2,Cancel,0,,
id2043002,30/6/59,23:35:45,-73.9829483,40.76176834,Upper Manhattan,USA,New York,-73.99364471,40.73039246,Asian noodle,10,2,Cancel,0,,
id1284494,30/6/59,23:35:41,-73.99643707,40.76350021,Upper Manhattan,USA,New York,-73.97537231,40.75228882,Tacos,1.5,2,Cancel,0,,
id1170300,30/6/59,23:34:42,-73.99991608,40.72528839,Midtown Manhattan,USA,New York,-73.91278076,40.76285934,Icecream,5,1,Success,14,,
id1309256,30/6/59,23:34:41,-73.97691345,40.72664261,Midtown Manhattan,USA,New York,-73.95589447,40.81377792,Pizza,5.5,10,Success,64,,
id3645922,30/6/59,23:34:16,-73.97541809,40.74975586,Midtown Manhattan,USA,New York,-73.94756317,40.78860474,Cheese Steak,4.5,2,Success,14,,
id1595264,30/6/59,23:33:22,-73.97723389,40.75196457,Upper Manhattan,USA,New York,-73.98589325,40.72682571,Tacos,2,2,Success,7,,
id2594446,30/6/59,23:33:18,-73.99732208,40.71912384,Lower Manhattan,USA,New York,-73.99029541,40.74993515,Tacos,8,6,Cancel,0,,
id0777968,30/6/59,23:32:41,-74.00048828,40.72740173,Midtown Manhattan,USA,New York,-73.99996948,40.76133728,Spagetti,2,1,Success,5,,
id0426749,30/6/59,23:32:09,-73.98635101,40.75575638,Upper Manhattan,USA,New York,-73.94768524,40.7521553,Asian noodle,1.5,8,Cancel,0,,
id1300331,30/6/59,23:31:56,-73.96674347,40.76400375,Upper Manhattan,USA,New York,-73.95515442,40.77251053,Icecream,12,2,Success,25,,
id1220261,30/6/59,23:31:32,-73.9715271,40.80443954,Harlem,USA,New York,-73.94994354,40.8218956,Tacos,5.5,1,Success,8,,
id2859902,30/6/59,23:30:54,-74.00743866,40.74347305,Midtown Manhattan,USA,New York,-73.99487305,40.75019836,Pizza,10,12,Cancel,0,,
id2726399,30/6/59,23:30:39,-73.9928894,40.74279022,Midtown Manhattan,USA,New York,-73.97633362,40.7408905,Icecream,1.5,1,Cancel,0,,
id2785851,30/6/59,23:30:12,-73.98351288,40.74235153,Midtown Manhattan,USA,New York,-73.97120667,40.75032043,Burger,13,2,Success,27,,
id2023315,30/6/59,23:29:57,-73.9810791,40.74157715,Midtown Manhattan,USA,New York,-73.9726181,40.79248047,Donut,5,2,Success,15,,
id0603959,30/6/59,23:29:24,-73.97489166,40.76158905,Upper Manhattan,USA,New York,-73.98739624,40.74716949,Icecream,1.5,1,Cancel,0,,
id0521659,30/6/59,23:28:31,-74.00993347,40.70498657,Lower Manhattan,USA,New York,-73.94454193,40.71158218,Fried Chicken,8,2,Cancel,0,,
id2972142,30/6/59,23:28:22,-73.98255157,40.78484726,Upper Manhattan,USA,New York,-73.96353912,40.76867294,Hot dog,12,1,Success,14,,
id0127362,30/6/59,23:28:13,-73.98088837,40.7537117,Upper Manhattan,USA,New York,-73.95298767,40.7717514,Pizza,6.5,2,Success,16,,
id0349746,30/6/59,23:28:11,-73.97652435,40.7515831,Upper Manhattan,USA,New York,-73.95585632,40.76795578,Icecream,5,2,Success,13,,
id3125801,30/6/59,23:27:49,-73.9829483,40.77164841,Upper Manhattan,USA,New York,-73.98077393,40.72490692,Icecream,4.5,2,Success,14,,
id2552900,30/6/59,23:27:36,-73.98899841,40.72143173,Midtown Manhattan,USA,New York,-73.98921204,40.75671387,Spagetti,13,4,Success,56,,
id2217703,30/6/59,23:26:11,-73.97524261,40.74137115,Midtown Manhattan,USA,New York,-73.95980072,40.76862335,Hot dog,1.5,1,Cancel,0,,
id2125163,30/6/59,23:25:49,-73.9855423,40.74714661,Midtown Manhattan,USA,New York,-73.97766876,40.72598648,Burger,12,8,Success,98,,
id1668771,30/6/59,23:25:36,-73.97981262,40.75242996,Upper Manhattan,USA,New York,-73.96130371,40.71205902,Cheese Steak,12,2,Success,28,,
id0684597,30/6/59,23:25:06,-74.00131226,40.7363739,Midtown Manhattan,USA,New York,-73.99498749,40.74287415,Icecream,2,1,Success,3,,
id2485399,30/6/59,23:24:53,-74.00748444,40.72593307,Midtown Manhattan,USA,New York,-73.9859848,40.73093796,Spagetti,2,1,Success,4,,
id1804505,30/6/59,23:24:27,-73.99072266,40.75619125,Upper Manhattan,USA,New York,-73.93609619,40.7989006,Spagetti,4.5,5,Success,29,,
id3202512,30/6/59,23:24:11,-73.98107147,40.75043106,Upper Manhattan,USA,New York,-73.96385956,40.75778961,Hot dog,4.5,1,Success,6,,
id3544706,30/6/59,23:24:08,-73.98320007,40.74456024,Midtown Manhattan,USA,New York,-73.9549942,40.76911163,Cheese Steak,10,2,Cancel,0,,
id0976070,30/6/59,23:22:46,-73.985672,40.72305679,Midtown Manhattan,USA,New York,-73.97792816,40.72603607,Asian noodle,1.5,2,Cancel,0,,
id2451797,30/6/59,23:22:18,-73.98174286,40.74089813,Midtown Manhattan,USA,New York,-73.9564209,40.77536011,Tacos,1.5,1,Cancel,0,,
id0377405,30/6/59,23:22:09,-73.98723602,40.73300171,Midtown Manhattan,USA,New York,-73.97686768,40.72729874,Icecream,1.5,1,Cancel,0,,
id0876799,30/6/59,23:21:36,-73.9757843,40.75550842,Upper Manhattan,USA,New York,-73.97275543,40.78570175,Icecream,4.5,2,Success,12,,
id0392392,30/6/59,23:20:41,-73.96550751,40.76196671,Upper Manhattan,USA,New York,-73.97467041,40.75286865,Hot dog,6.5,1,Success,8,,
id1615256,30/6/59,23:20:36,-74.00222778,40.73871231,Midtown Manhattan,USA,New York,-73.97678375,40.75001526,Asian noodle,4.5,4,Success,21,,
id2648035,30/6/59,23:20:02,-73.96512604,40.7595253,Upper Manhattan,USA,New York,-73.92208862,40.76365662,Donut,6.5,2,Success,17,,
id2678173,30/6/59,23:19:28,-74.00285339,40.74388123,Midtown Manhattan,USA,New York,-74.00434875,40.75190735,Icecream,6.5,6,Success,40,,
id1760464,30/6/59,23:19:07,-74.00495148,40.72308731,Midtown Manhattan,USA,New York,-73.95407104,40.77200699,Spagetti,12,1,Success,19,,
id3723177,30/6/59,23:18:54,-73.98269653,40.76173401,Upper Manhattan,USA,New York,-73.98119354,40.77350235,Cheese Steak,13,1,Success,14,,
id2111062,30/6/59,23:18:53,-74.00417328,40.75183868,Upper Manhattan,USA,New York,-73.98843384,40.7649231,Cheese Steak,13,2,Success,28,,
id2604302,30/6/59,23:18:32,-74.00039673,40.73246384,Midtown Manhattan,USA,New York,-73.99745941,40.71937561,Asian noodle,6.5,1,Success,8,,
id1442028,30/6/59,23:17:55,-73.97372437,40.74342728,Midtown Manhattan,USA,New York,-73.97654724,40.75178528,Pizza,6.5,2,Success,14,,
id3094517,30/6/59,23:17:53,-73.96933746,40.79799271,Upper Manhattan,USA,New York,-73.94833374,40.80394745,Asian noodle,1.5,2,Cancel,0,,
id0130846,30/6/59,23:17:35,-73.99358368,40.72126389,Midtown Manhattan,USA,New York,-73.99127197,40.75011063,Hot dog,4.5,2,Success,12,,
id1177771,30/6/59,23:17:35,-73.96193695,40.77344131,Upper Manhattan,USA,New York,-73.96581268,40.75275803,Icecream,12,2,Success,26,,
id0276992,30/6/59,23:17:34,-74.00416565,40.74238205,Midtown Manhattan,USA,New York,-73.94896698,40.62729645,Spagetti,6.5,1,Success,19,,
id3214777,30/6/59,23:16:59,-74.00431824,40.70733261,Lower Manhattan,USA,New York,-73.99156952,40.69784927,Burger,4.5,4,Success,20,,
id3613100,30/6/59,23:16:57,-73.96550751,40.76519012,Upper Manhattan,USA,New York,-73.94994354,40.7820816,Fried Chicken,8,1,Cancel,0,,
id3196583,30/6/59,23:16:38,-74.00281525,40.76052856,Upper Manhattan,USA,New York,-73.99021912,40.74651718,Fried Chicken,2,1,Success,4,,
id3273243,30/6/59,23:16:10,-73.99082947,40.74587631,Midtown Manhattan,USA,New York,-73.9216156,40.76265717,Donut,10,1,Cancel,0,,
id0585259,30/6/59,23:16:04,-73.96614838,40.76473618,Upper Manhattan,USA,New York,-73.97964478,40.78970337,Fried Chicken,10,2,Cancel,0,,
id2584115,30/6/59,23:15:12,-73.98252869,40.72325134,Midtown Manhattan,USA,New York,-73.94853973,40.70969009,Tacos,13,1,Success,17,,
id2329025,30/6/59,23:15:09,-73.99797058,40.71369171,Lower Manhattan,USA,New York,-73.99098969,40.76521683,Fried Chicken,10,3,Cancel,0,,
id0975674,30/6/59,23:14:39,-74.00259399,40.73408508,Midtown Manhattan,USA,New York,-73.97454071,40.75349808,Fried Chicken,12,1,Success,15,,
id0139753,30/6/59,23:14:33,-73.99176788,40.76488876,Upper Manhattan,USA,New York,-73.97898102,40.74451828,Spagetti,1.5,1,Cancel,0,,
id0394293,30/6/59,23:14:31,-73.99984741,40.76152802,Upper Manhattan,USA,New York,-73.98839569,40.76491928,Hot dog,13,2,Success,27,,
id2144237,30/6/59,23:14:28,-73.97363281,40.75043106,Upper Manhattan,USA,New York,-73.96338654,40.76593018,Spagetti,6.5,1,Success,8,,
id0495393,30/6/59,23:14:16,-73.98838043,40.73156357,Midtown Manhattan,USA,New York,-73.94300842,40.70611572,Tacos,4.5,2,Success,14,,
id1671429,30/6/59,23:14:16,-73.98390198,40.76512146,Upper Manhattan,USA,New York,-73.98922729,40.77679825,Cheese Steak,1.5,2,Cancel,0,,
id3780029,30/6/59,23:14:01,-73.9790802,40.74451828,Midtown Manhattan,USA,New York,-73.92253876,40.76000977,Donut,13,2,Success,32,,
id3759898,30/6/59,23:13:41,-73.98543549,40.7579422,Upper Manhattan,USA,New York,-73.96788788,40.71086502,Hot dog,1.5,1,Cancel,0,,
id2068572,30/6/59,23:13:28,-73.98604584,40.75769424,Upper Manhattan,USA,New York,-73.99178314,40.74920273,Asian noodle,6.5,2,Success,14,,
id3029354,30/6/59,23:13:16,-73.97569275,40.78208923,Upper Manhattan,USA,New York,-73.98107147,40.77423859,Donut,1.5,3,Cancel,0,,
id1233395,30/6/59,23:11:39,-74.01057434,40.7047348,Lower Manhattan,USA,New York,-73.98042297,40.74233246,Hot dog,5,4,Success,25,,
id1971234,30/6/59,23:11:37,-74.01044464,40.72013474,Midtown Manhattan,USA,New York,-73.9972229,40.73755264,Icecream,13,5,Success,67,,
id2146947,30/6/59,23:10:58,-73.98791504,40.75435638,Upper Manhattan,USA,New York,-73.99383545,40.74621582,Icecream,2,1,Success,3,,
id0248956,30/6/59,23:10:15,-73.98340607,40.73975372,Midtown Manhattan,USA,New York,-73.92710876,40.76279068,Spagetti,8,6,Cancel,0,,
id2832032,30/6/59,23:10:02,-73.96102142,40.76079178,Upper Manhattan,USA,New York,-73.94972229,40.77232361,Hot dog,1.5,1,Cancel,0,,
id3381322,30/6/59,23:09:53,-73.98001862,40.76556778,Upper Manhattan,USA,New York,-73.97904205,40.77750778,Cheese Steak,2,2,Success,5,,
id3174102,30/6/59,23:09:38,-73.99545288,40.72083282,Midtown Manhattan,USA,New York,-73.97327423,40.74382782,Icecream,2,1,Success,5,,
id3841591,30/6/59,23:09:09,-73.97977448,40.7269783,Midtown Manhattan,USA,New York,-74.00221252,40.7387085,Tacos,1.5,2,Cancel,0,,
id0132202,30/6/59,23:08:27,-73.9834137,40.74396133,Midtown Manhattan,USA,New York,-73.97818756,40.75339127,Donut,5,1,Success,6,,
id2155048,30/6/59,23:07:03,-74.00042725,40.72742081,Midtown Manhattan,USA,New York,-74.00267792,40.72668076,Icecream,8,1,Cancel,0,,
id0152661,30/6/59,23:06:27,-74.01293182,40.71614075,Lower Manhattan,USA,New York,-74.01017761,40.72449112,Tacos,12,2,Success,25,,
id2557936,30/6/59,23:05:58,-73.9835434,40.76585007,Upper Manhattan,USA,New York,-73.96231079,40.7634697,Cheese Steak,5.5,5,Success,30,,
id1132188,30/6/59,23:05:49,-74.00795746,40.74040985,Midtown Manhattan,USA,New York,-73.99485779,40.72135162,Hot dog,5,2,Success,12,,
id1370403,30/6/59,23:05:32,-73.98679352,40.76140594,Upper Manhattan,USA,New York,-73.83649445,40.8652153,Cheese Steak,5.5,2,Success,29,,
id1391881,30/6/59,23:05:25,-73.99269104,40.71865845,Lower Manhattan,USA,New York,-73.98453522,40.72871399,Spagetti,4.5,2,Success,10,,
id0469584,30/6/59,23:05:09,-73.98140717,40.7632103,Upper Manhattan,USA,New York,-73.94515228,40.77856064,Asian noodle,5.5,2,Success,15,,
id1884057,30/6/59,23:05:05,-73.98838806,40.74570084,Midtown Manhattan,USA,New York,-74.01068878,40.70903015,Fried Chicken,8,4,Cancel,0,,
id3437390,30/6/59,23:05:03,-73.97682953,40.78805923,Upper Manhattan,USA,New York,-73.98203278,40.77870178,Spagetti,12,1,Success,13,,
id2139791,30/6/59,23:04:57,-73.97869873,40.73455048,Midtown Manhattan,USA,New York,-73.99552917,40.67924118,Cheese Steak,5,1,Success,11,,
id2824398,30/6/59,23:04:33,-73.98309326,40.7496109,Midtown Manhattan,USA,New York,-73.98664093,40.72967529,Hot dog,6.5,3,Success,22,,
id2510692,30/6/59,23:04:16,-73.98043823,40.76461029,Upper Manhattan,USA,New York,-73.94712067,40.8156929,Cheese Steak,2,2,Success,10,,
id0572623,30/6/59,23:04:03,-74.00095367,40.73654175,Midtown Manhattan,USA,New York,-73.96726227,40.78808975,Burger,5.5,1,Success,12,,
id1394395,30/6/59,23:03:46,-74.001091,40.73147964,Midtown Manhattan,USA,New York,-73.98932648,40.75754547,Pizza,5,2,Success,13,,
id1555305,30/6/59,23:02:55,-73.98639679,40.7321701,Midtown Manhattan,USA,New York,-73.89637756,40.70101929,Asian noodle,5.5,2,Success,21,,
id2420516,30/6/59,23:02:52,-74.00904083,40.71345139,Lower Manhattan,USA,New York,-74.00547791,40.72016144,Asian noodle,6.5,5,Success,33,,
id1500597,30/6/59,23:02:19,-73.98105621,40.7821312,Upper Manhattan,USA,New York,-74.01464081,40.71811295,Spagetti,1.5,1,Cancel,0,,
id1899288,30/6/59,23:02:18,-74.00518799,40.72050095,Midtown Manhattan,USA,New York,-74.00524139,40.72117233,Hot dog,10,1,Cancel,0,,
id1472524,30/6/59,23:00:57,-73.97507477,40.76519394,Upper Manhattan,USA,New York,-73.97328949,40.76396942,Asian noodle,1.5,2,Cancel,0,,
id1993020,30/6/59,23:00:52,-74.01353455,40.71357727,Lower Manhattan,USA,New York,-73.97237396,40.79491806,Icecream,6.5,1,Success,16,,
id2273329,30/6/59,23:00:17,-73.97763062,40.75210571,Upper Manhattan,USA,New York,-73.96652985,40.76705551,Spagetti,8,2,Cancel,0,,
id0927586,30/6/59,23:00:01,-73.98400116,40.76150513,Upper Manhattan,USA,New York,-74.0039444,40.73472977,Pizza,6.5,2,Success,16,,
id3405349,30/6/59,22:59:59,-74.00910187,40.71696091,Lower Manhattan,USA,New York,-73.97357941,40.76438141,Icecream,6.5,2,Success,19,,
id2695311,30/6/59,22:59:36,-73.99195099,40.74401093,Midtown Manhattan,USA,New York,-73.95349884,40.80688095,Burger,2,1,Success,9,,
id1383806,30/6/59,22:58:55,-74.00764465,40.74064255,Midtown Manhattan,USA,New York,-73.96450043,40.77296066,Pizza,5.5,1,Success,11,,
id1457117,30/6/59,22:58:40,-73.96767426,40.75608444,Upper Manhattan,USA,New York,-73.98360443,40.73578644,Tacos,5,2,Success,13,,
id2319880,30/6/59,22:58:32,-73.97688293,40.75166702,Upper Manhattan,USA,New York,-73.97621918,40.74423599,Burger,2,2,Success,5,,
